Nation,"1896,Athletics","1900,Athletics","1904,Athletics","1906,Athletics","1908,Athletics","1912,Athletics","1920,Athletics","1924,Athletics","1928,Athletics","1932,Athletics","1936,Athletics","1948,Athletics","1952,Athletics","1956,Athletics","1960,Athletics","1964,Athletics","1968,Athletics","1972,Athletics","1976,Athletics","1980,Athletics","1984,Athletics","1988,Athletics","1992,Athletics","1996,Athletics","2000,Athletics","2004,Athletics","2008,Athletics","2012,Athletics","2016,Athletics"
Australia,2,4,0,2,1,0,1,1,0,0,1,9,4,19,4,6,6,2,0,1,3,2,2,2,3,6,4,3,2
Belgium,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,1,0,2,3,0,0,0,0,0,0,0,5,0,1
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,1,1,2,0,4,5,1,5,0,1
Canada,0,2,0,2,6,5,1,0,14,15,7,4,0,0,0,2,0,0,1,0,15,1,3,6,0,0,2,1,10
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,2,2,6,6
Finland,0,0,0,2,1,20,21,27,14,11,10,3,1,3,1,1,1,4,4,2,4,2,1,2,1,0,1,1,0
France,2,10,2,1,6,5,10,8,3,1,0,11,2,1,2,5,5,5,1,4,4,4,1,4,0,5,2,6,6
Germany,1,1,1,2,5,2,0,0,18,8,22,0,14,110,22,10,17,46,51,38,16,43,10,10,5,2,1,8,3
Greece,10,0,1,7,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,5,1,0,1
Italy,0,0,0,0,1,1,4,2,0,6,8,8,2,0,3,2,2,2,1,7,7,3,1,4,2,3,2,1,0
Japan,0,0,0,0,0,0,0,0,2,4,7,0,0,0,0,1,1,0,0,0,0,0,2,1,1,2,4,1,5
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,1,2,1,0,0,1
Netherlands,0,0,0,0,0,0,0,4,1,0,2,9,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1
Russia,0,0,0,0,0,0,0,0,0,0,0,0,20,25,24,18,16,20,27,56,0,36,29,10,18,27,25,23,0
South Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,1,0,11,5,33,26,8,7,1,2,16,3,1,1,1,0,1,1,0,3,1,1,1,1,3,0,0,0
UK,2,12,2,9,21,22,25,22,8,14,13,10,8,13,11,18,4,7,1,16,22,12,14,11,6,7,8,6,14
USA,17,39,72,23,41,49,36,48,34,44,34,33,40,40,32,33,37,28,31,0,56,40,48,39,28,38,32,42,46
Total,34,69,78,60,90,139,124,120,101,104,106,105,97,214,101,98,92,118,123,126,136,147,120,101,77,102,94,98,97
